NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100000096,01192,종로2가,126.9849388,37.57033699
100000097,01193,종로2가,126.9863596,37.57035879
100000098,01194,종로3가,126.9899347,37.57049432
100000099,01195,종로4가.종묘,126.99417,37.57071
100000100,01196,종로4가,126.99562,37.57066767
100000101,01197,종로5가,126.9990558,37.5709588
100000102,01198,원남동,126.9973383,37.57453251
100000103,01199,창덕궁.우리소리박물관,126.9886349,37.57727286
100000104,01200,안국역.인사동,126.9842426,37.5757849
100000105,01201,조계사.종로경찰서,126.9831556,37.57252231
100000106,01202,조계사.종로경찰서,126.9828259,37.57248581
100000107,01203,안국동,126.9827201,37.57461057
100000108,01204,종로5가.효제동.김상옥의거터,127.00223,37.5745
100000109,01205,종로5가.효제초등학교,127.0021442,37.57287901
100000110,01206,종로5가,127.0004857,37.57110388
100000111,01207,종로6가,127.0025993,37.57117324
100000112,01208,종로6가,127.0043133,37.57119391
100000414,01209,창덕궁.돈화문국악당,126.9910846,37.5773031
100000114,01210,종로6가,127.0059751,37.57086134
100000358,01211,종로6가,127.004294,37.57082447
100000116,01212,종로5가,127.0021827,37.5705596
100000117,01213,청계6가.동대문시장,127.0028494,37.56983511
100000118,01214,동대문,127.0084126,37.57172624
100000119,01215,충신동,127.0062788,37.57402235
100000120,01216,종로6가.종로신진시장,127.0035695,37.57080106
100000121,01217,충신동,127.0063434,37.57446028
100000122,01218,현대그룹빌딩,127.000533,37.575873
100000123,01219,방송통신대.이화장,127.002437,37.578043
100000124,01220,혜화역.마로니에공원,127.0022769,37.58111949
100000125,01221,혜화역.서울대병원입구,127.0019395,37.58106363
100000126,01222,방송통신대.이화장,127.0019938,37.57812967
100000127,01223,이화동(이화장),127.0006951,37.57611936
100000128,01224,창경궁.서울대학교병원,126.9968717,37.57882799
100000129,01225,이화동(이화장),127.0032708,37.57593729
100000130,01226,혜화동로터리,127.0007247,37.58576463
100000131,01227,명륜동2가.성균관대입구,126.9993988,37.58333349
100000132,01228,혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281
100000133,01229,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977
100000135,01231,종로구민회관.창신동두산아파트,127.0155555,37.57409268
100000136,01232,동대문,127.0141186,37.57270788
100000137,01233,동대문,127.0136467,37.57229002
100000138,01234,동대문,127.0149019,37.57267481
100000139,01235,동묘역앞,127.0156014,37.57168496
100000140,01236,동묘역앞,127.015945,37.57192215
101000307,01237,청계2가교차로,126.9878779,37.5684809
100000142,01238,창신3동주민센터,127.015178,37.578413
100000143,01239,숭인1동주민센터.창신역4번출구,127.0155486,37.57877205
100000144,01240,동묘역.롯데캐슬천지인,127.0158024,37.57418005
100000146,01242,숭인동,127.020339,37.5743009
100000147,01243,신설동로터리,127.0227802,37.57592883
100000364,01245,동묘앞,127.0178163,37.57372922
